class,tier,tier_weight,support,A_precision,A_recall,A_f1,B_precision,B_recall,B_f1,delta_f1
crown_root_rot,moderate,2,153,0.9803,0.9739,0.977,0.9811,0.3399,0.5049,-0.4721
healthy_wheat,healthy,1,18,0.9333,0.7778,0.8485,0.5714,0.2222,0.32,-0.5285
leaf_rust,moderate,2,9,0.9,1.0,0.9474,1.0,0.4444,0.6154,-0.332
wheat_loose_smut,moderate,2,140,0.965,0.9857,0.9753,1.0,0.4643,0.6341,-0.3412
MACRO,,,320,0.9447,0.9343,0.937,0.8881,0.3677,0.5186,-0.4184
